informal_query,formal_query
"உங்க கடை எப்பதான் திறக்கும்","உங்கள் கடையின் வேலை நேரம் என்ன"
"கடை எங்கே இருக்கு","கடை எங்கு அமைந்துள்ளது"
"நீங்க வீட்டுக்கு டெலிவரி செய்யறீங்களா","நீங்கள் வீட்டிற்கு பொருட்கள் அனுப்புகிறீர்களா"
"உங்க கடையில் வண்டி நிறுத்த இடம் இருக்கு ல","உங்களிடம் வாகன நிறுத்தும் வசதி உள்ளதா"
"நான் வாங்கின பொருள் திருப்பி தரலாமா","நான் வாங்கிய பொருளை திருப்பி தரலாமா"
"நான் ஆர்டர் எப்படி காணலாம்","நான் என் ஆர்டரை எப்படி கண்காணிக்க முடியும்"
"உங்க கடையில லோயல்டி ப்ரோக்ராம் இருக்கு ல","உங்களிடம் லோயல்டி திட்டம் உள்ளதா"
"நீங்க என்னென்ன கட்டணம் எடுக்கறீங்க","எந்தவகையான கட்டண முறைகளை ஏற்கிறீர்கள்"
"நான் ஆர்டர் cancel பண்ணலாமா","நான் ஆர்டரை ரத்து செய்யலாமா"
"உங்க பொருட்கள் ஆன்லைன்ல கிடைக்குதா","உங்கள் பொருட்கள் ஆன்லைனில் கிடைக்குமா"
"நீங்க தள்ளுபடி கொடுப்பீங்களா","நீங்கள் தள்ளுபடி கொடுப்பீர்களா"
"நான் வாங்கின பொருள் மாற்றிக்கொள்ளலாமா","நான் பொருளை மாற்றிக்கொள்ளலாமா"
"நான் எப்படி வாடிக்கையாளர் சேவையுடன் தொடர்பு கொள்ளலாம்","நான் வாடிக்கையாளர் சேவையுடன் எப்படி தொடர்பு கொள்ளலாம்"
"நீங்க கிப்ட் கார்டு விற்கிறீங்களா","நீங்கள் கிப்ட் கார்டுகளை விற்கிறீர்களா"
"உங்க பொருட்களுக்கு உத்திரவாதம் இருக்கு ல","உங்கள் பொருட்களுக்கு உத்திரவாதம் இருக்கிறதா"
